site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_sim_site,nearest_volt,power_pool,US_region,automated_error
10618,38.3,-86.2,GIC,measured,NERC,,0.5330126156362351,-0.2732625117307198,47.20012118881074,-15.705933053047696,0.2276965762473749,,,MISO,Central,Data gap detected >= 10.0 minutes (5251.0 seconds)
10619,38.3,-86.2,GIC,measured,NERC,,0.5330126156362351,-0.2732625117307198,47.20012118881074,-15.705933053047696,0.2276965762473749,,,MISO,Central,Data gap detected >= 10.0 minutes (7200.0 seconds)
10620,39.1,-87.5,GIC,measured,NERC,missing periods of data,0.4657602038935467,-0.3318376217862699,47.939801335658096,-17.276080694405746,0.2479128203708062,,,MISO,Central,Data gap detected >= 10.0 minutes (4900.0 seconds)
10621,39.1,-87.5,GIC,measured,NERC,missing periods of data,0.4657602038935467,-0.3318376217862699,47.939801335658096,-17.276080694405746,0.2479128203708062,,,MISO,Central,Data gap detected >= 10.0 minutes (19459.0 seconds)
10622,39.3,-86.5,GIC,measured,NERC,,0.5118813171556331,-0.2908307212102241,48.18538730619996,-16.136308739574567,0.2550142791386919,,69.0,MISO,Central,
10623,39.3,-86.5,GIC,measured,NERC,missing periods of data,0.5118813171556331,-0.2908307212102241,48.18538730619996,-16.136308739574567,0.2550142791386919,,69.0,MISO,Central,Data gap detected >= 10.0 minutes (19449.0 seconds)
10642,42.2,-86.3,GIC,measured,NERC,high cadence,0.5461142418775051,-0.2627164975385062,51.08927752463355,-16.165701904854664,0.3561197017949902,,,PJM,East,Baseline offset detected (median value: 7.8 A)
10643,40.5,-85.9,GIC,measured,NERC,high cadence,0.6847150592020781,-0.1644901204217946,49.40961667551967,-15.542228267804406,0.2935670073631519,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10644,37.7,-81.7,GIC,measured,NERC,not centered at zero,0.7270994843128518,-0.1384061633745122,46.76355255445033,-10.472848087609789,0.2165472013477894,,765.0,PJM,East,Baseline offset detected (median value: 4.5 A)
10664,36.3,-115.3,GIC,measured,NERC,not smooth,0.2845726094012771,-0.5458069038242861,42.77527706983306,-48.06878440907522,0.1368871499009371,,,CAISO,West,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:00
10665,31.0,-86.0,GIC,measured,NERC,too low,0.1930207859474642,-0.7143959203383019,39.91823543986511,-14.959500327307984,0.0985532563414942,,,SERTP,East,Low signal: all GIC values within +/- 3.5 A
10701,41.8,-83.3,GIC,measured,NERC,not smooth,0.713233725338786,-0.1467681293465939,50.808905866461366,-12.597957116988004,0.3448205630554349,,,,,All GIC values are positive
10707,38.3,-82.7,GIC,measured,NERC,high cadence,0.5806159156987967,-0.2361110635690612,47.332421801994194,-11.662746346135844,0.2311873699886618,,,PJM,East,Baseline offset detected (median value: 3.6 A)
10708,38.3,-82.7,GIC,measured,NERC,high cadence,0.5806159156987967,-0.2361110635690612,47.332421801994194,-11.662746346135844,0.2311873699886618,,,PJM,East,Cadence is >= 60 seconds (60.0 seconds)
10051,44.4,-96.5,GIC,measured,NERC,lots of peaks,1.4244053758465474,0.15363360407557,52.66412867937349,-28.451669928953272,0.4268253008992058,,,SPP,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 02:49:10
10063,33.4,-112.5,GIC,measured,NERC,,0.5072943140435764,-0.294740005400589,40.22744657558942,-44.48590213438411,0.1021207928443251,,,WestConnect,West,Low signal: all GIC values within +/- 3.5 A
10077,42.3,-87.9,GIC,measured,NERC,,1.3255865352890053,0.1224080840659391,51.1138455356653,-18.05811313037768,0.3571272770543199,,138.0,PJM,East,Baseline offset detected (median value: -1.42 A)
10078,42.1,-87.8,GIC,measured,NERC,missing periods of data,1.1540917340532886,0.0622403304919486,50.91922506423734,-17.91943804221207,0.3492230683628303,,,PJM,East,Low signal: all GIC values within +/- 3.5 A
10079,41.5,-87.6,GIC,measured,NERC,,0.7866879617083581,-0.1041974955708377,50.33026558193213,-17.623038378428202,0.3263533016477513,,345.0,PJM,East,
10080,42.0,-87.9,GIC,measured,NERC,noisy,1.0905215442259428,0.0376342498743888,50.81451478702398,-18.026313374538063,0.3450430529854522,,,PJM,East,Baseline offset detected (median value: 4.2 A)
10082,41.6,-87.7,GIC,measured,NERC,empty plot,0.8350684775599249,-0.0782779098972061,50.42519991827764,-17.750315320210234,0.3299357671787701,,,PJM,East,All GIC values are positive
10083,40.8,-88.6,GIC,measured,NERC,missing periods of data,0.7003540656265397,-0.1546823458825831,49.58196430301202,-18.718856604833046,0.2994435427705204,,345.0,PJM,East,Baseline offset detected (median value: 1.36 A)
10084,41.2,-87.9,GIC,measured,NERC,empty plot,0.7763817105617404,-0.1099247039581599,50.01625827218452,-17.943468826615515,0.3147786524856614,,,PJM,East,All GIC values are positive
10085,41.2,-87.9,GIC,measured,NERC,empty plot,0.7763817105617404,-0.1099247039581599,50.01625827218452,-17.943468826615515,0.3147786524856614,,,PJM,East,All GIC values are positive
10102,42.9,-71.3,GIC,measured,NERC,no data available,2.880981184607718,0.4595404219570091,52.09247795710621,1.6046532021168105,0.3996683047869118,,,ISONE,East,Duplicate time stamps found
10107,34.5,-118.1,GIC,measured,NERC,,0.9647671847862695,-0.0155774768753736,40.65560681349635,-50.73351737617763,0.1072749091031946,,500.0,CAISO,West,
10111,43.4,-123.0,GIC,measured,NERC,very noisy,0.5699654737361433,-0.244151451380176,48.7934730688533,-58.13024668713535,0.2734857184917276,,,NorthernGridConnected,West,Baseline offset detected (median value: 2.0 A)
10112,47.7,-117.4,GIC,measured,NERC,,0.6947322760129329,-0.1581825241158557,53.75543194626193,-53.26912620370859,0.4838982579732245,,,NorthernGridConnected,West,Baseline offset detected (median value: 1.4 A)
10113,45.6,-121.1,GIC,measured,NERC,,0.6593937188565016,-0.1808551941036236,51.20973442656421,-56.70613875743446,0.36108719228872,,500.0,NorthernGridUnconnected,West,Baseline offset detected (median value: -1.85 A)
10114,46.5,-116.9,GIC,measured,NERC,,0.7795147586163345,-0.108175657864546,52.64024764078257,-52.33632252943973,0.4256547104221677,,,NorthernGridConnected,West,Baseline offset detected (median value: -2.36 A)
10115,47.6,-114.6,GIC,measured,NERC,,0.2891062058950986,-0.5389425857521396,54.00820306221349,-50.09336147601408,0.4981709803596629,,230.0,NorthernGridUnconnected,West,Data is constant for at least 5 minutes starting at time 2024-05-10 00:09:10
